PyPSA-EUR technology,parameter,couple to,reference,unit,comment
battery inverter,CO2 intensity,setting to reference value,0,tCO2/MWh_th,
battery inverter,efficiency,mapping generation weighted to reference REMIND-EU technology,btin,,
battery inverter,FOM,mapping generation weighted to reference REMIND-EU technology,btin,,
battery inverter,fuel,setting to reference value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
battery inverter,investment,mapping generation weighted to reference REMIND-EU technology,btin,,
battery inverter,lifetime,mapping generation weighted to reference REMIND-EU technology,btin,,
battery inverter,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
battery storage,CO2 intensity,setting to reference value,0,tCO2/MWh_th,
battery storage,efficiency,setting to reference value,1,p.u.,Storage without losses
battery storage,FOM,mapping generation weighted to reference REMIND-EU technology,btstor,,
battery storage,fuel,setting to reference value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
battery storage,investment,mapping generation weighted to reference REMIND-EU technology,btstor,,
battery storage,lifetime,mapping generation weighted to reference REMIND-EU technology,btstor,,
battery storage,VOM,setting to reference value,0,USD/MWh,"No value originally in PyPSA-EUR databse, using default fill value"
biomass,CO2 intensity,setting to reference value,0,tCO2/MWh_th,"TODO coupling with REMIND-EU difficult, as biomass has not CO2 intensity there, assuming carbon-neutral for now as well"
biomass,efficiency,mapping generation weighted to reference REMIND-EU technology,"[biochp, bioigcc, bioigccc]",,
biomass,FOM,mapping generation weighted to reference REMIND-EU technology,"[biochp, bioigcc, bioigccc]",,
biomass,fuel,mapping generation weighted to reference REMIND-EU technology,pebiolc,,
biomass,investment,mapping generation weighted to reference REMIND-EU technology,"[biochp, bioigcc, bioigccc]",,
biomass,lifetime,mapping generation weighted to reference REMIND-EU technology,"[biochp, bioigcc, bioigccc]",,
biomass,VOM,mapping generation weighted to reference REMIND-EU technology,"[biochp, bioigcc, bioigccc]",,
CCGT,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
CCGT,efficiency,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
CCGT,FOM,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
CCGT,investment,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
CCGT,lifetime,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
CCGT,VOM,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,
coal,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
coal,efficiency,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
coal,FOM,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
coal,fuel,mapping generation weighted to reference REMIND-EU technology,pecoal,,
coal,investment,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
coal,lifetime,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
coal,VOM,mapping generation weighted to reference REMIND-EU technology,"[igcc, igccc, pc, coalchp]",,
csp,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
csp,efficiency,mapping generation weighted to reference REMIND-EU technology,csp,,
csp,FOM,mapping generation weighted to reference REMIND-EU technology,csp,,
csp,fuel,setting to reference value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
csp,investment,setting to reference value,-1,USD/MW,"Currently not in REMIND-EU output, else could be mapped to technology “csp”"
csp,lifetime,mapping generation weighted to reference REMIND-EU technology,csp,,
csp,VOM,setting to reference value,0,USD/MWh,"Currently not in REMIND-EU output, else could be mapped to technology “csp”"
electrolysis,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
electrolysis,efficiency,mapping generation weighted to reference REMIND-EU technology,elh2,,
electrolysis,FOM,mapping generation weighted to reference REMIND-EU technology,elh2,,
electrolysis,fuel,setting to reference value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
electrolysis,investment,mapping generation weighted to reference REMIND-EU technology,elh2,,
electrolysis,lifetime,mapping generation weighted to reference REMIND-EU technology,elh2,,
electrolysis,VOM,mapping generation weighted to reference REMIND-EU technology,elh2,,
fuel cell,CO2 intensity,setting to reference value,0,tCO2/MWh_th,Process without direct emissions
fuel cell,efficiency,mapping generation weighted to reference REMIND-EU technology,h2turb,,
fuel cell,FOM,mapping generation weighted to reference REMIND-EU technology,h2turb,,
fuel cell,fuel,setting to reference value,0,USD/MWh,Dummy value to avoid PyPSA-EUR throwing an error
fuel cell,investment,mapping generation weighted to reference REMIND-EU technology,h2turb,,
fuel cell,lifetime,mapping generation weighted to reference REMIND-EU technology,h2turb,,
fuel cell,VOM,mapping generation weighted to reference REMIND-EU technology,h2turb,,
gas,CO2 intensity,mapping generation weighted to reference REMIND-EU technology,"[ngcc, ngccc, gaschp]",,TODO this is partially wrong and not correct emission factor from REMIND but PyPSA-Eur uses same emission factor for OCGT and CCGT
gas,efficiency,setting to reference value,1,p.u.,Dummy technology to avoid PyPSA-EUR throwing an error
gas,FOM,setting to reference value,0,%/year,Dummy technology to avoid PyPSA-EUR throwing an error
gas,fuel,mapping generation weighted to reference REMIND-EU technology,pegas,,
gas,investment,setting to reference value,0,USD/MW,Dummy technology to avoid PyPSA-EUR throwing an error
gas,lifetime,setting to reference value,1,years,Dummy technology to avoid PyPSA-EUR throwing an error
gas,VOM,setting to reference value,0,USD/MWh,Dummy technology to avoid PyPSA-EUR throwing an error
geothermal,CO2 intensity,setting to reference value,-1,tCO2/MWh_th,"Currently not in REMIND-EU output, else could be mapped to technology “"
geothermal,efficiency,setting to reference value,-1,p.u.,"Currently not in REMIND-EU output, else could be mapped to technology “geohdr”"
